Customer ID,Customer Name,AR Account,Chain,Phone,Territory,Account Status,Customer Type,Last Month Sales,Product Group,Distribution Area
6735,WAL-MART STORE #479 (ALTUS),WAL-MART (LAW),WAL-MART (OK),(580) 482-8189,Lawton,Active,SUPERCENTER,"$57,741.10 ",Beer/Wine,(OK) Jackson
5621,SAM'S CLUB #8239 (LAWTON),WAL-MART (LAW),SAM'S CLUB (OK),(580) 248-3003,Lawton,Active,WHOLESALE CLUB,"$57,589.68 ",Beer/Wine,(OK) Comanche
1899,RACETRAC #2511,RACETRAC (D),RACETRAC (TX),,Denton,Active,C-STORE / GAS,"$57,049.02 ",Beer/Wine,(TX) Denton
1576,KROGER #589,KROGER (D),KROGER (TX),(972) 346-5243,Denton,Active,SUPERMARKET,"$56,357.94 ",Beer/Wine,(TX) Denton
396,WAL-MART #271 (BOWIE),WAL-MART (D),WAL-MART (TX),,Denton,Active,SUPERCENTER,"$55,488.10 ",Beer/Wine,(TX) Montague
1194,QUIKTRIP #1863 (NORTHLAKE),QUIKTRIP (D),QUIKTRIP (TX),(682) 831-1079,Denton,Active,C-STORE / GAS,"$55,265.71 ",Beer/Wine,(TX) Denton
50203,GOODY GOODY #16 (LITTLE ELM),GOODY GOODY (D),GOODY GOODY (TX),,Denton,Active,LIQUOR / PACKAGE STORE,"$53,965.26 ",All (Beer/Wine/Spirits),(TX) Denton
3047,FIESTA MART (LEWISVILLE),FIESTA MART (LEWISVILLE),FIESTA (TX),,Denton,Active,NEIGHBORHOOD GROC.,"$53,735.91 ",Beer/Wine,(TX) Denton
1164,WINCO FOODS #121 (LEWISVILLE),WINCO (D),WINCO (TX),(469) 645-1669,Denton,Active,SUPERMARKET,"$53,522.74 ",Beer/Wine,(TX) Denton
59584,WAL-MART SUPERCENTER - #3777 (ELDORADO),WAL-MART (D),WAL-MART (TX),(469) 362-8542,Denton,Active,SUPERCENTER,"$52,855.95 ",Beer/Wine,(TX) Denton
5970,SHERIDAN SHOPPETTE #1011921,AAFES ALTUS AFB (L),AAFES FORT SILL (OK),(580) 355-7601,Lawton,Active,MILITARY OFF LIQUOR,"$52,578.86 ",All (Beer/Wine/Spirits),(OK) Comanche
3400,TOM THUMB #12,TOM THUMB-PAGE (D),TOM THUMB (TX),,Denton,Active,SUPERMARKET,"$52,553.59 ",Beer/Wine,(TX) Denton
1843,BUCEES #39 (I35E),BUCEES (D),BUCEES (TX),,Denton,Active,C-STORE / GAS,"$52,357.33 ",Beer/Wine,(TX) Denton
46717,COSTCO WHOLESALE #683,COSTCO (D),COSTCO (TX),(469) 948-1041,Denton,Active,WHOLESALE CLUB,"$51,792.20 ",Beer/Wine,(TX) Denton
54908,KROGER #456,KROGER (D),KROGER (TX),(972) 355-0997,Denton,Active,SUPERMARKET,"$51,273.90 ",Beer/Wine,(TX) Denton
850,7-ELEVEN GROCERY #38149(407),711 (Denton),711 (TX),,Denton,Active,C-STORE / GAS,"$51,016.70 ",Beer/Wine,(TX) Denton
2094,7-ELEVEN GROCERY #38634 (OAK POINT),711 (Denton),711 (TX),,Denton,Active,C-STORE / GAS,"$50,364.16 ",Beer/Wine,(TX) Denton
1587,SPEC'S LIQUORS & WINE #80 (WICHITA FALLS),SPEC'S LIQUOR (D),SPEC'S LIQUOR (TX),,Wichita Falls,Active,LIQUOR / PACKAGE STORE,"$50,105.36 ",All (Beer/Wine/Spirits),"(TX) Archer, Baylor, Wichita, Wilbarger"
1148,WAL-MART #1148 (LAWRENCE),WAL-MART (D),WAL-MART (TX),(940) 696-3393,Wichita Falls,Active,SUPERCENTER,"$50,084.49 ",Beer/Wine,"(TX) Archer, Baylor, Wichita, Wilbarger"
1664,"FLUFFY'S DISCOUNT LIQUOR, BEER & WINE","FLUFFY'S DISCOUNT LIQUOR, BEER & WINE",* Independent Fisher59 - OKLAHOMA,(817) 501-6010,Lawton,Active,LIQUOR / PACKAGE STORE,"$49,543.17 ",All (Beer/Wine/Spirits),(OK) Comanche
420,WAL-MART #420 (I-44),WAL-MART (D),WAL-MART (TX),(940) 851-0629,Wichita Falls,Active,SUPERCENTER,"$49,154.88 ",Beer/Wine,"(TX) Archer, Baylor, Wichita, Wilbarger"
12405,WAL-MART STORE #225 (SULPHUR),WAL-MART (LAW),WAL-MART (OK),(405) 238-1728,Ardmore,Active,SUPERCENTER,"$49,123.02 ",Beer/Wine,(OK) Murray
1652,WAL-MART SUPERCENTER - #2463 (STONEBROOK),WAL-MART (D),WAL-MART (TX),(972) 987-8764,Denton,Active,SUPERCENTER,"$48,935.83 ",Beer/Wine,(TX) Denton
54072,QUIKTRIP #911 (MAYHILL),QUIKTRIP (D),QUIKTRIP (TX),(940) 380-8738,Denton,Active,C-STORE / GAS,"$47,262.66 ",Beer/Wine,(TX) Denton
5198,WAL-MART #414 (SW PKWY),WAL-MART (D),WAL-MART (TX),(940) 397-9650,Wichita Falls,Active,SUPERCENTER,"$45,857.59 ",Beer/Wine,"(TX) Archer, Baylor, Wichita, Wilbarger"
49357,WAL-MART NEIGHBORHOOD MKT #4104 (DENTON),WAL-MART (D),WAL-MART (TX),,Denton,Active,SUPERMARKET,"$44,719.57 ",Beer/Wine,(TX) Denton
8224,SAM'S CLUB #8224 (WICHITA FALLS),SAMS CLUB (D),SAM'S CLUB (TX),(940) 691-2815,Wichita Falls,Active,WHOLESALE CLUB,"$44,102.90 ",Beer/Wine,"(TX) Archer, Baylor, Wichita, Wilbarger"
54866,KROGER #585,KROGER (D),KROGER (TX),(469) 671-5770,Denton,Active,SUPERMARKET,"$43,705.65 ",Beer/Wine,(TX) Denton
404,WAL-MART NEIGHBORHOOD MKT #5963 (FLOWER MOUND),WAL-MART (D),WAL-MART (TX),(469) 549-4400,Denton,Active,SUPERMARKET,"$42,966.53 ",Beer/Wine,(TX) Denton
46334,TOM THUMB #1789 #6,TOM THUMB-PAGE (D),TOM THUMB (TX),(817) 490-6960,Denton,Active,SUPERMARKET,"$42,578.92 ",Beer/Wine,(TX) Denton
47449,WAL-MART NEIGHBORHOOD MKT#3287 (LEWISVILLE),WAL-MART (D),WAL-MART (TX),,Denton,Active,SUPERMARKET,"$41,015.51 ",Beer/Wine,(TX) Denton
1281,WINCO FOODS #140 (DENTON),WINCO (D),WINCO (TX),(940) 703-7022,Denton,Active,SUPERMARKET,"$40,592.87 ",Beer/Wine,(TX) Denton
12408,WAL-MART STORE #1043 (PAULS VALLEY),WAL-MART (LAW),WAL-MART (OK),(405) 238-7353,Ardmore,Active,SUPERCENTER,"$40,440.93 ",Beer/Wine,(OK) Garvin
773,FOOD DEPOT-RANDALL'S #2963,TOM THUMB-PAGE (D),TOM THUMB (TX),(214) 494-6213,Denton,Active,SUPERMARKET,"$40,102.67 ",Beer/Wine,(TX) Denton
2312,7-ELEVEN GROCERY #41170 (PROVIDENCE VILLAGE),711 (Denton),711 (TX),,Denton,Active,C-STORE / GAS,"$39,505.94 ",Beer/Wine,(TX) Denton
6670,CAMPUS QUICK STOP,CAMPUS QUICK STOP,* Independent Fisher59 - OKLAHOMA,(405) 224-0429,Lawton,Active,C-STORE / GAS,"$38,001.07 ",All (Beer/Wine/Spirits),(OK) Grady
796,SPEC'S LIQUORS #163 (THE COLONY),SPEC'S LIQUOR (D),SPEC'S LIQUOR (TX),2.14469E+19,Denton,Active,LIQUOR / PACKAGE STORE,"$37,383.75 ",All (Beer/Wine/Spirits),(TX) Denton
45823,GOOD SPIRITS #4191,ALBERTSONS (GOOD SPIRITS) (D),ALBERTSONS (GOOD SPIRITS) (TX),(940) 321-4540,Denton,Active,SUPERMARKET,"$37,210.02 ",Beer/Wine,(TX) Denton
485,FT SILL NORTH EXPRESS #1011922,AAFES ALTUS AFB (L),AAFES FORT SILL (OK),(580) 250-1204,Lawton,Active,MILITARY OFF LIQUOR,"$36,897.76 ",All (Beer/Wine/Spirits),(OK) Comanche
3365,TOM THUMB #361 (SANGER),TOM THUMB-PAGE (D),TOM THUMB (TX),(817) 568-3983,Denton,Active,SUPERMARKET,"$36,635.03 ",Beer/Wine,(TX) Denton
51250,GOODY GOODY#12 (HIGHLAND VILLAGE),GOODY GOODY (D),GOODY GOODY (TX),,Denton,Active,LIQUOR / PACKAGE STORE,"$36,610.18 ",All (Beer/Wine/Spirits),(TX) Denton
46433,KROGER #546,KROGER (D),KROGER (TX),(972) 377-9001,Denton,Active,SUPERMARKET,"$36,159.30 ",Beer/Wine,(TX) Denton
57166,TOM THUMB #2557,TOM THUMB-PAGE (D),TOM THUMB (TX),(940) 615-0311,Denton,Active,SUPERMARKET,"$35,832.93 ",Beer/Wine,(TX) Cooke
4590,UNITED (KELL) #417,UNITED SUPERMARKET (D),UNITED SUPERMARKET (TX),(940) 691-1471,Wichita Falls,Active,SUPERMARKET,"$34,545.72 ",Beer/Wine,"(TX) Archer, Baylor, Wichita, Wilbarger"
47183,QUIKTRIP #927 (HWY 121),QUIKTRIP (D),QUIKTRIP (TX),(972) 484-3881,Denton,Active,C-STORE / GAS,"$34,457.36 ",Beer/Wine,(TX) Denton
46391,KROGER #547,KROGER (D),KROGER (TX),(972) 731-0615,Denton,Active,SUPERMARKET,"$34,404.36 ",Beer/Wine,(TX) Denton
2471,7-ELEVEN GROCERY #41158 (SHERMAN),711 (Denton),711 (TX),(940) 783-5028,Denton,Active,C-STORE / GAS,"$34,090.33 ",Beer/Wine,(TX) Denton
1606,LUCKY'S SPIRITS & WINE,LUCKY'S SPIRITS & WINE,Lucky's Wine and Spirits (TX),(669) 888-6664,Denton,Active,LIQUOR / PACKAGE STORE,"$33,583.56 ",All (Beer/Wine/Spirits),(TX) Denton
51037,TOM THUMB #3575,TOM THUMB-PAGE (D),TOM THUMB (TX),(972) 539-2366,Denton,Active,SUPERMARKET,"$33,464.68 ",Beer/Wine,(TX) Denton
3045,WAL-MART #3229 (VERNON),WAL-MART (D),WAL-MART (TX),(940) 552-8029,Wichita Falls,Active,SUPERCENTER,"$33,378.67 ",Beer/Wine,"(TX) Archer, Baylor, Wichita, Wilbarger"
1078,WAL-MART STORE #2984 (SW LEE BLVD),WAL-MART (LAW),WAL-MART (OK),,Lawton,Active,SUPERCENTER,"$33,299.34 ",Beer/Wine,(OK) Comanche
55277,RACETRAC #528 (W. UNIVERSITY),RACETRAC (D),RACETRAC (TX),(940) 383-2344,Denton,Active,C-STORE / GAS,"$33,234.75 ",Beer/Wine,(TX) Denton
2204,MI TIENDITA BEER & WINE,MI TIENDITA BEER & WINE,* Independent Fisher59 - TEXAS,(469) 951-1402,Denton,Active,C-STORE / GAS,"$33,136.55 ",Beer/Wine,(TX) Denton
2380,CASEY'S GENERAL STORE #4514,CASEY'S (L),CASEY'S GENERAL STORES (OK),(580) 357-3970,Lawton,Active,C-STORE / GAS,"$32,321.27 ",Beer/Wine,(OK) Comanche
3251,COSTCO WHOLESALE #1694,COSTCO (D),COSTCO (TX),(972) 346-6122,Denton,Active,WHOLESALE CLUB,"$32,259.20 ",Beer/Wine,(TX) Denton
2784,ACE FUEL STOP #1,ACE FUEL STOP,* Independent Fisher59 - OKLAHOMA,,Ardmore,Active,C-STORE / GAS,"$32,116.99 ",Beer/NA,(OK) Carter
2659,THE SPORTSMAN 2 TRAVEL PLAZA,THE SPORTSMAN 2 TRAVEL PLAZA,* Independent Fisher59 - TEXAS,(940) 777-0221,Denton,Active,C-STORE / GAS,"$32,065.33 ",Beer/Wine,(TX) Denton
769,RUBIA & MORENA BEER AND WINE,RUBIA & MORENA BEER AND WINE,* Independent Fisher59 - TEXAS,,Denton,Active,C-STORE / GAS,"$31,668.78 ",Beer/Wine,(TX) Denton
58080,QUIKTRIP #940 (LAKE DALLAS),QUIKTRIP (D),QUIKTRIP (TX),(940) 497-4175,Denton,Active,C-STORE / GAS,"$31,446.76 ",Beer/Wine,(TX) Denton
54541,SHOP N GO LEWISVILLE,SHOP N GO LEWISVILLE,* Independent Fisher59 - TEXAS,(972) 418-8357,Denton,Active,C-STORE / GAS,"$31,311.81 ",Beer/Wine,(TX) Denton
12020,HARRY'S FOOD MART,HARRY'S FOOD MART,* Independent Fisher59 - OKLAHOMA,(580) 657-2911,Ardmore,Active,C-STORE / GAS,"$31,161.80 ",Beer/Wine,(OK) Carter
46715,CIRCLE K #2741194 (AUBREY),CIRCLE K (D),CIRCLE K/CST (TX),(972) 347-6516,Denton,Active,C-STORE / GAS,"$31,068.74 ",Beer/Wine,(TX) Denton
47415,SAM FOOD MART,SAM FOOD MART,* Independent Fisher59 - TEXAS,(972) 353-2000,Denton,Active,C-STORE / GAS,"$30,828.64 ",Beer/Wine,(TX) Denton
2950,FOSSIL CREEK LIQUOR - AUBREY,FOSSIL CREEK LIQUOR - AUBREY,FOSSIL CREEK LIQUOR (TX),(940) 536-4802,Denton,Active,LIQUOR / PACKAGE STORE,"$30,778.05 ",All (Beer/Wine/Spirits),(TX) Denton
47357,WHIP-IN #111,WHIP-IN #111,* Independent Fisher59 - TEXAS,(972) 492-8641,Denton,Active,C-STORE / GAS,"$30,558.53 ",Beer/Wine,(TX) Denton
2315,LIQUORLAND - CORRAL CITY,LIQUORLAND - CORRAL CITY,LIQUORLAND (TX),(281) 221-6025,Denton,Active,LIQUOR / PACKAGE STORE,"$30,362.42 ",All (Beer/Wine/Spirits),(TX) Denton
306,QUIKTRIP #912 (W. UNIVERSITY),QUIKTRIP (D),QUIKTRIP (TX),(940) 891-0107,Denton,Active,C-STORE / GAS,"$30,353.48 ",Beer/Wine,(TX) Denton
1792,7-ELEVEN GROCERY #38224 (PROSPER),711 (Denton),711 (TX),,Denton,Active,C-STORE / GAS,"$30,303.09 ",Beer/Wine,(TX) Denton
12024,THACKERVILLE TRAVEL STOP CTS,CHICKASAW NATION DIV OF COMMERCE (L),CHICKASAW NATION DIV OF COMMERCE (OK),(580) 276-4706,Ardmore,Active,C-STORE / GAS,"$30,196.59 ",Beer/Wine,(OK) Love
59675,MAYHILL FOOD MART,MAYHILL FOOD MART,* Independent Fisher59 - TEXAS,(940) 783-0946,Denton,Active,C-STORE / GAS,"$30,155.16 ",Beer/Wine,(TX) Denton
1270,7-ELEVEN GROCERY #37210(O' Reilly's),711 (Denton),711 (TX),(682) 831-9688,Denton,Active,C-STORE / GAS,"$29,952.71 ",Beer/Wine,(TX) Denton
4505,KOCKS LIQUOR BEER & WINE,KOCKS LIQUOR BEER WINE #1,* Independent Fisher59 - TEXAS,(940) 696-9229,Wichita Falls,Active,LIQUOR / PACKAGE STORE,"$29,824.62 ",All (Beer/Wine/Spirits),"(TX) Archer, Baylor, Wichita, Wilbarger"
54065,7-ELEVEN GROCERY #34010 (ELDORADO),711 (Denton),711 (TX),(469) 362-9545,Denton,Active,C-STORE / GAS,"$29,695.58 ",Beer/Wine,(TX) Denton
220,WAL-MART SUPERCENTER - #263 (FRISCO),WAL-MART (D),WAL-MART (TX),(217) 412-6865,Denton,Active,SUPERCENTER,"$29,469.15 ",Beer/Wine,(TX) Denton
54296,QUIKTRIP #942 (JUSTIN RD),QUIKTRIP (D),QUIKTRIP (TX),,Denton,Active,C-STORE / GAS,"$29,410.24 ",Beer/Wine,(TX) Denton
2192,CIRCLE K #2709263,CIRCLE K/RM (L),CIRCLE K/RM (OK),,Lawton,Active,C-STORE / GAS,"$29,131.39 ",Beer/Wine,(OK) Jackson
49759,CHAPARRAL,CHAPARRAL,* Independent Fisher59 - TEXAS,(940) 365-5775,Denton,Active,C-STORE / GAS,"$28,969.64 ",Beer/Wine,(TX) Denton
2871,QUIKTRIP #1859 (SANGER),QUIKTRIP (D),QUIKTRIP (TX),,Denton,Active,C-STORE / GAS,"$28,625.18 ",Beer/Wine,(TX) Denton
384,7-ELEVEN GROCERY #041757 (KRUM),711 (Denton),711 (TX),,Denton,Active,C-STORE / GAS,"$28,144.79 ",Beer/Wine,(TX) Denton
262,QUIKTRIP #928 (121 BUSINESS),QUIKTRIP (D),QUIKTRIP (TX),(972) 436-7109,Denton,Active,C-STORE / GAS,"$28,060.26 ",Beer/Wine,(TX) Denton
2836,OMNI PGA FRISCO RESORT,OMNI PGA FRISCO RESORT,OMNI HOTELS (TX),(469) 305-4669,Denton,Active,HOTEL / MOTEL,"$28,029.45 ",Beer/Wine,(TX) Denton
49643,BEV'S,BEV'S,* Independent Fisher59 - TEXAS,(940) 479-2635,Denton,Active,C-STORE / GAS,"$27,905.31 ",Beer/Wine,(TX) Denton
56689,ALLSUPS #102007 (DECATUR CATES),YESWAY (D),YESWAY (TX),(940) 627-3444,Denton,Active,C-STORE / GAS,"$27,582.88 ",Beer/Wine,(TX) Wise
47456,CONVENIENCE PLUS,CONVENIENCE PLUS,* Independent Fisher59 - TEXAS,(972) 221-2907,Denton,Active,C-STORE / GAS,"$27,570.69 ",Beer/Wine,(TX) Denton
63115,GOOD SPIRITS #4152,ALBERTSONS (GOOD SPIRITS) (D),ALBERTSONS (GOOD SPIRITS) (TX),(940) 383-2391,Denton,Active,SUPERMARKET,"$27,507.54 ",Beer/Wine,(TX) Denton
57810,MILLENIUM #2,MILLENIUM #2,* Independent Fisher59 - TEXAS,(469) 556-6928,Denton,Active,C-STORE / GAS,"$27,405.81 ",Beer/Wine,(TX) Denton
480,RACETRAC #685,RACETRAC (D),RACETRAC (TX),(000) 000-0000,Denton,Active,C-STORE / GAS,"$27,278.41 ",Beer/Wine,(TX) Denton
55802,ALLSUPS #102238 (JUSTIN),YESWAY (D),YESWAY (TX),(940) 648-1521,Denton,Active,C-STORE / GAS,"$27,193.89 ",Beer/Wine,(TX) Denton
1777,SPEC'S LIQUORS #168 (LITTLE ELM),SPEC'S LIQUOR (D),SPEC'S LIQUOR (TX),,Denton,Active,LIQUOR / PACKAGE STORE,"$26,696.21 ",All (Beer/Wine/Spirits),(TX) Denton
662,RACETRAC #612 (ELDORADO),RACETRAC (D),RACETRAC (TX),(214) 436-5187,Denton,Active,C-STORE / GAS,"$26,686.12 ",Beer/Wine,(TX) Denton
444,7-ELEVEN GROCERY #34356 (ROBINSON RD),711 (Denton),711 (TX),,Denton,Active,C-STORE / GAS,"$26,546.78 ",Beer/Wine,(TX) Denton
57331,QUIKTRIP #905 (EAGLE DR),QUIKTRIP (D),QUIKTRIP (TX),(940) 391-4916,Denton,Active,C-STORE / GAS,"$26,346.93 ",Beer/Wine,(TX) Denton
1817,SHADY LADY LIQUOR & MORE,SHADY LADY LIQUOR,* Independent Fisher59 - OKLAHOMA,(580) 512-1050,Lawton,Active,LIQUOR / PACKAGE STORE,"$26,063.01 ",All (Beer/Wine/Spirits),(OK) Comanche
59576,JOHNNY JOES #4,JOHNNY JOES #4,* Independent Fisher59 - TEXAS,(940) 482-1786,Denton,Active,C-STORE / GAS,"$25,835.43 ",Beer/Wine,(TX) Denton
55203,RACETRAC #132 (E. UNIVERSITY),RACETRAC (D),RACETRAC (TX),(940) 384-1820,Denton,Active,C-STORE / GAS,"$25,814.24 ",Beer/Wine,(TX) Denton
537,BROWNIE'S,BROWNIE'S FOOD MART,* Independent Fisher59 - TEXAS,(972) 219-5577,Denton,Active,C-STORE / GAS,"$25,729.94 ",Beer/Wine,(TX) Denton
2191,CIRCLE K #2709262,CIRCLE K/RM (L),CIRCLE K/RM (OK),,Lawton,Active,C-STORE / GAS,"$25,453.85 ",Beer/Wine,(OK) Jackson
555,FOOD DEPOT - RANDALLS #1854,TOM THUMB-PAGE (D),TOM THUMB (TX),(972) 691-2084,Denton,Active,SUPERMARKET,"$25,361.04 ",Beer/Wine,(TX) Denton
1275,BLACK TIE LIQUORS #2 AUBREY,BLACK TIE LIQUORS #2,BLACK TIE LIQUORS (TX),(972) 436-2520,Denton,Active,LIQUOR / PACKAGE STORE,"$25,222.21 ",All (Beer/Wine/Spirits),(TX) Denton
54023,THE SPORTSMAN (RJ CORNER STORE),THE SPORTSMAN (RJ CORNER STORE),* Independent Fisher59 - TEXAS,(940) 491-0034,Denton,Active,C-STORE / GAS,"$25,105.76 ",Beer/Wine,(TX) Denton
50013,LW'S CUT RATE LIQUOR & BEER,L. W.S LIQUOR,* Independent Fisher59 - TEXAS,(940) 665-9261,Denton,Active,LIQUOR / PACKAGE STORE,"$24,961.31 ",All (Beer/Wine/Spirits),(TX) Cooke
196,JERRY'S BEVERAGE CITY,JERRY'S BEVERAGE CITY,* Independent Fisher59 - TEXAS,(940) 686-2281,Denton,Active,C-STORE / GAS,"$24,589.77 ",Beer/Wine,(TX) Denton
2115,CHISHOLM CORNER OK #4,DIAMOND JUBILEE OIL LLC (OK),* Independent Fisher59 - OKLAHOMA,(580) 255-2272,Lawton,Active,C-STORE / GAS,"$24,293.14 ",Beer/Wine,(OK) Stephens
1084,BREAK TIME,BREAK TIME,* Independent Fisher59 - TEXAS,(972) 658-1941,Denton,Active,C-STORE / GAS,"$24,255.59 ",Beer/Wine,(TX) Denton
1693,BOOTLEGGERS - SHERIDAN,BOOTLEGGERS - SHERIDAN,* Independent Fisher59 - OKLAHOMA,(580) 699-3541,Lawton,Active,LIQUOR / PACKAGE STORE,"$24,193.20 ",All (Beer/Wine/Spirits),(OK) Comanche
12409,WAL-MART STORE #1295 (MADILL),WAL-MART (LAW),WAL-MART (OK),(580) 795-7383,Ardmore,Active,SUPERCENTER,"$23,747.71 ",Beer/Wine,(OK) Marshall West (377 & west)
54486,CIRCLE K #2742375,CIRCLE K (D),CIRCLE K/CST (TX),(972) 625-0959,Denton,Active,C-STORE / GAS,"$23,735.36 ",Beer/Wine,(TX) Denton
